               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  24,             0.04899,            0.018592,           0.0077708,             0.42836,              0.7668,             0.54237,             0.28204,            0.029256,           0.0071988,           0.0031303,            0.006205,            0.006205,            0.006205
                  25,            0.050346,            0.017184,           0.0067142,             0.95483,             0.62702,             0.80608,             0.38693,            0.028847,           0.0069245,           0.0031214,             0.00604,             0.00604,             0.00604
                  26,            0.046586,             0.02048,           0.0072516,             0.53905,             0.64286,             0.45239,             0.30344,            0.035426,            0.006962,           0.0039537,            0.005875,            0.005875,            0.005875
                  27,            0.056378,            0.018656,           0.0053416,             0.52449,             0.69029,             0.54602,              0.2406,            0.033102,           0.0067704,            0.004466,             0.00571,             0.00571,             0.00571
                  28,            0.043953,            0.016264,           0.0050661,             0.49734,             0.84217,             0.67549,             0.37064,             0.02764,           0.0070148,           0.0057003,            0.005545,            0.005545,            0.005545
                  29,            0.044513,            0.016208,            0.005147,             0.73014,             0.67857,             0.76244,             0.41982,            0.029979,           0.0067634,           0.0051532,             0.00538,             0.00538,             0.00538
                  30,            0.044994,            0.015152,           0.0036192,             0.73091,             0.66717,             0.70994,             0.36735,            0.030356,           0.0066413,           0.0048391,            0.005215,            0.005215,            0.005215
                  31,            0.046574,             0.01549,           0.0042253,             0.53812,             0.89286,             0.74686,              0.3655,            0.029866,           0.0066605,           0.0051603,             0.00505,             0.00505,             0.00505
                  32,            0.042587,            0.016186,           0.0038992,             0.59666,             0.89286,              0.7838,             0.45289,            0.028159,           0.0066289,            0.005173,            0.004885,            0.004885,            0.004885
                  33,            0.039449,            0.016993,           0.0033375,             0.76165,             0.84733,             0.91776,             0.60473,            0.025103,           0.0066551,           0.0051212,             0.00472,             0.00472,             0.00472
                  34,            0.038582,            0.015873,           0.0031867,             0.65854,             0.72664,             0.69304,             0.33424,            0.031868,           0.0064747,           0.0043608,            0.004555,            0.004555,            0.004555
                  35,            0.046279,            0.015715,           0.0027683,             0.72016,             0.87992,             0.87854,             0.53157,            0.028049,           0.0063491,           0.0040643,             0.00439,             0.00439,             0.00439
                  36,            0.038191,            0.015247,           0.0026926,             0.57764,             0.91258,             0.77654,             0.42073,            0.028967,           0.0064123,           0.0039877,            0.004225,            0.004225,            0.004225
                  37,            0.039182,            0.014854,           0.0030715,             0.75452,                0.75,              0.8022,               0.497,            0.027969,           0.0061457,           0.0031284,             0.00406,             0.00406,             0.00406
                  38,            0.044417,            0.014035,           0.0047416,             0.72944,             0.89286,             0.90444,             0.55433,            0.026539,           0.0061929,           0.0028913,            0.003895,            0.003895,            0.003895
                  39,            0.038313,            0.013592,           0.0036979,             0.86836,             0.89286,             0.91607,             0.61501,            0.026264,           0.0060388,           0.0025409,             0.00373,             0.00373,             0.00373
                  40,            0.035864,            0.014511,           0.0022527,             0.81737,             0.89286,             0.89676,             0.63819,            0.024761,           0.0059754,           0.0028639,            0.003565,            0.003565,            0.003565
                  41,            0.034051,            0.016476,           0.0039471,             0.81557,             0.89286,             0.89857,             0.64347,            0.023467,            0.006038,           0.0028425,              0.0034,              0.0034,              0.0034
                  42,            0.035288,            0.013992,           0.0024504,             0.84445,             0.89286,             0.88123,             0.54385,             0.02982,           0.0058233,           0.0026843,            0.003235,            0.003235,            0.003235
                  43,            0.036399,            0.014753,           0.0031268,             0.83466,             0.89286,             0.88201,             0.56213,            0.024514,           0.0060342,            0.002798,             0.00307,             0.00307,             0.00307
                  44,            0.034571,            0.014701,           0.0021892,             0.82244,             0.88545,                 0.9,             0.60193,             0.02377,           0.0061981,             0.00269,            0.002905,            0.002905,            0.002905
                  45,             0.03599,            0.013224,           0.0025546,              0.8428,             0.89286,             0.90083,              0.6462,            0.022329,           0.0062482,           0.0023475,             0.00274,             0.00274,             0.00274
                  46,            0.035875,            0.015238,           0.0031571,             0.86133,             0.89286,             0.89847,             0.57989,            0.023122,           0.0061655,           0.0022389,            0.002575,            0.002575,            0.002575
                  47,            0.034102,            0.014295,           0.0021919,              0.8497,             0.89286,             0.89916,              0.5832,             0.02395,           0.0062006,           0.0022839,             0.00241,             0.00241,             0.00241
                  48,             0.03362,            0.014763,           0.0025406,             0.84798,             0.89048,             0.89529,             0.62881,            0.023635,           0.0061084,           0.0023896,            0.002245,            0.002245,            0.002245
                  49,            0.032705,            0.013821,           0.0026745,             0.82141,             0.88103,             0.89759,             0.61139,            0.024436,           0.0061093,           0.0026051,             0.00208,             0.00208,             0.00208
                  50,            0.030527,            0.014959,           0.0021766,             0.81671,             0.87988,             0.88881,              0.6176,            0.024062,           0.0061764,           0.0021357,            0.001915,            0.001915,            0.001915
                  51,            0.030887,            0.015526,           0.0019281,             0.84567,             0.87532,             0.89533,             0.59767,            0.024542,           0.0060974,           0.0023308,             0.00175,             0.00175,             0.00175
                  52,            0.032531,            0.014445,           0.0017136,             0.84496,             0.86713,             0.88935,             0.62889,            0.023178,           0.0061735,           0.0022412,            0.001585,            0.001585,            0.001585
                  53,            0.028649,            0.014113,            0.002204,             0.84379,             0.86695,             0.89381,             0.59401,            0.023705,           0.0061757,           0.0022433,             0.00142,             0.00142,             0.00142
                  54,            0.031151,             0.01527,           0.0018388,             0.84119,             0.85769,             0.89756,             0.63548,            0.023435,           0.0062004,           0.0023595,            0.001255,            0.001255,            0.001255
                  55,            0.029894,            0.013375,           0.0014832,             0.84224,             0.85703,              0.8981,             0.63473,             0.02316,           0.0061651,           0.0024341,             0.00109,             0.00109,             0.00109
                  56,            0.031493,            0.013663,           0.0019837,             0.84106,             0.86612,             0.90287,             0.64968,            0.022614,           0.0062306,           0.0025282,            0.000925,            0.000925,            0.000925
                  57,            0.031288,            0.014319,           0.0019041,             0.84322,             0.87092,             0.90345,             0.62961,             0.02253,            0.006291,           0.0024172,             0.00076,             0.00076,             0.00076
                  58,            0.027445,            0.013287,           0.0017083,             0.84772,             0.87162,             0.90622,             0.63396,             0.02225,           0.0062634,           0.0021743,            0.000595,            0.000595,            0.000595
                  59,            0.029173,            0.013744,           0.0018298,             0.84903,             0.87093,             0.90703,             0.64368,            0.021639,           0.0062523,           0.0020689,             0.00043,             0.00043,             0.00043
